  no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs
289   2770.00   13.6519    7.2550    5.7092    725.23    273.09
290   2780.00   13.6526    7.2572    5.7145    726.06    273.54
291   2789.67   13.6533    7.2593    5.7196    726.87    273.97
292   2799.67   13.6540    7.2615    5.7249    726.52    273.97
293   2809.67   13.6548    7.2636    5.7302    726.16    273.97
294   2819.67   13.6555    7.2658    5.7354    725.81    273.97
295   2829.67   13.6563    7.2679    5.7407    725.45    273.97
296   2839.33   13.6570    7.2700    5.7458    725.11    273.97
297   2849.33   13.6576    7.2722    5.7508    724.73    273.97
298   2859.33   13.6582    7.2745    5.7559    724.35    273.97
299   2869.33   13.6588    7.2767    5.7609    723.97    273.97
300   2879.33   13.6594    7.2790    5.7660    723.58    273.97
301   2889.33   13.6600    7.2812    5.7710    723.20    273.97
302   2891.50   13.6601    7.2817    5.7721    723.12    273.97
303   2891.50    8.0000    0.0000    9.9145  57822.00      0.00
304   2901.50    8.0080    0.0000    9.9312  57822.00      0.00
305   2911.50    8.0160    0.0000    9.9478  57822.00      0.00
306   2921.50    8.0240    0.0000    9.9645  57822.00      0.00
307   2931.50    8.0319    0.0000    9.9812  57822.00      0.00
308   2939.33    8.0382    0.0000    9.9942  57822.00      0.00
309   2949.33    8.0561    0.0000   10.0097  57822.00      0.00
310   2959.33    8.0740    0.0000   10.0252  57822.00      0.00
311   2969.33    8.0919    0.0000   10.0407  57822.00      0.00
312   2979.33    8.1098    0.0000   10.0562  57822.00      0.00
313   2989.33    8.1277    0.0000   10.0717  57822.00      0.00
314   2989.66    8.1283    0.0000   10.0722  57822.00      0.00
315   2999.66    8.1468    0.0000   10.0874  57822.00      0.00
316   3009.66    8.1653    0.0000   10.1025  57822.00      0.00
317   3019.66    8.1837    0.0000   10.1177  57822.00      0.00
318   3029.66    8.2022    0.0000   10.1328  57822.00      0.00
319   3039.66    8.2207    0.0000   10.1480  57822.00      0.00
320   3039.99    8.2213    0.0000   10.1485  57822.00      0.00
321   3049.99    8.2394    0.0000   10.1634  57822.00      0.00
322   3059.99    8.2574    0.0000   10.1782  57822.00      0.00
323   3069.99    8.2755    0.0000   10.1931  57822.00      0.00
324   3079.99    8.2935    0.0000   10.2079  57822.00      0.00
325   3089.99    8.3116    0.0000   10.2228  57822.00      0.00
326   3090.32    8.3122    0.0000   10.2233  57822.00      0.00
327   3100.32    8.3297    0.0000   10.2378  57822.00      0.00
328   3110.32    8.3471    0.0000   10.2523  57822.00      0.00
329   3120.32    8.3646    0.0000   10.2669  57822.00      0.00
330   3130.32    8.3820    0.0000   10.2814  57822.00      0.00
331   3140.32    8.3995    0.0000   10.2959  57822.00      0.00
332   3140.66    8.4001    0.0000   10.2964  57822.00      0.00
333   3150.66    8.4172    0.0000   10.3106  57822.00      0.00
334   3160.66    8.4343    0.0000   10.3248  57822.00      0.00
335   3170.66    8.4514    0.0000   10.3390  57822.00      0.00
336   3180.66    8.4684    0.0000   10.3532  57822.00      0.00
337   3190.66    8.4855    0.0000   10.3674  57822.00      0.00
338   3190.99    8.4861    0.0000   10.3679  57822.00      0.00
339   3200.99    8.5026    0.0000   10.3818  57822.00      0.00
340   3210.99    8.5191    0.0000   10.3957  57822.00      0.00
341   3220.99    8.5356    0.0000   10.4096  57822.00      0.00
342   3230.99    8.5521    0.0000   10.4235  57822.00      0.00
343   3240.99    8.5687    0.0000   10.4373  57822.00      0.00
344   3241.32    8.5692    0.0000   10.4378  57822.00      0.00
345   3251.32    8.5852    0.0000   10.4514  57822.00      0.00
346   3261.32    8.6011    0.0000   10.4650  57822.00      0.00
347   3271.32    8.6171    0.0000   10.4786  57822.00      0.00
348   3281.32    8.6331    0.0000   10.4922  57822.00      0.00
349   3291.32    8.6491    0.0000   10.5058  57822.00      0.00
350   3291.65    8.6496    0.0000   10.5062  57822.00      0.00
351   3301.65    8.6652    0.0000   10.5195  57822.00      0.00
352   3311.65    8.6809    0.0000   10.5328  57822.00      0.00
353   3321.65    8.6965    0.0000   10.5461  57822.00      0.00
354   3331.65    8.7121    0.0000   10.5594  57822.00      0.00
355   3341.65    8.7278    0.0000   10.5727  57822.00      0.00
356   3341.98    8.7283    0.0000   10.5731  57822.00      0.00
357   3351.98    8.7433    0.0000   10.5861  57822.00      0.00
358   3361.98    8.7582    0.0000   10.5991  57822.00      0.00
359   3371.98    8.7732    0.0000   10.6121  57822.00      0.00
360   3381.98    8.7881    0.0000   10.6251  57822.00      0.00
361   3391.98    8.8031    0.0000   10.6381  57822.00      0.00
362   3392.31    8.8036    0.0000   10.6385  57822.00      0.00
363   3402.31    8.8180    0.0000   10.6512  57822.00      0.00
364   3412.31    8.8324    0.0000   10.6639  57822.00      0.00
365   3422.31    8.8468    0.0000   10.6765  57822.00      0.00
366   3432.31    8.8612    0.0000   10.6892  57822.00      0.00
367   3442.31    8.8756    0.0000   10.7019  57822.00      0.00
368   3442.64    8.8761    0.0000   10.7023  57822.00      0.00
369   3452.64    8.8900    0.0000   10.7147  57822.00      0.00
370   3462.64    8.9039    0.0000   10.7271  57822.00      0.00
371   3472.64    8.9178    0.0000   10.7395  57822.00      0.00
372   3482.64    8.9317    0.0000   10.7519  57822.00      0.00
373   3492.64    8.9456    0.0000   10.7643  57822.00      0.00
374   3492.97    8.9461    0.0000   10.7647  57822.00      0.00
375   3502.97    8.9596    0.0000   10.7768  57822.00      0.00
376   3512.97    8.9730    0.0000   10.7889  57822.00      0.00
377   3522.97    8.9865    0.0000   10.8011  57822.00      0.00
378   3532.97    8.9999    0.0000   10.8132  57822.00      0.00
379   3542.97    9.0134    0.0000   10.8253  57822.00      0.00
380   3543.30    9.0138    0.0000   10.8257  57822.00      0.00
381   3553.30    9.0268    0.0000   10.8375  57822.00      0.00
382   3563.30    9.0398    0.0000   10.8493  57822.00      0.00
383   3573.30    9.0528    0.0000   10.8612  57822.00      0.00
384   3583.30    9.0658    0.0000   10.8730  57822.00      0.00
385   3593.30    9.0788    0.0000   10.8848  57822.00      0.00
386   3593.64    9.0792    0.0000   10.8852  57822.00      0.00
387   3603.64    9.0918    0.0000   10.8968  57822.00      0.00
388   3613.64    9.1044    0.0000   10.9083  57822.00      0.00
389   3623.64    9.1170    0.0000   10.9199  57822.00      0.00
390   3633.64    9.1296    0.0000   10.9315  57822.00      0.00
391   3643.64    9.1422    0.0000   10.9430  57822.00      0.00
392   3643.97    9.1426    0.0000   10.9434  57822.00      0.00
393   3653.97    9.1548    0.0000   10.9547  57822.00      0.00
394   3663.97    9.1671    0.0000   10.9659  57822.00      0.00
395   3673.97    9.1793    0.0000   10.9772  57822.00      0.00
396   3683.97    9.1916    0.0000   10.9885  57822.00      0.00
397   3693.97    9.2038    0.0000   10.9997  57822.00      0.00
398   3694.30    9.2042    0.0000   11.0001  57822.00      0.00
399   3704.30    9.2160    0.0000   11.0111  57822.00      0.00
400   3714.30    9.2277    0.0000   11.0221  57822.00      0.00
401   3724.30    9.2395    0.0000   11.0331  57822.00      0.00
402   3734.30    9.2512    0.0000   11.0441  57822.00      0.00
403   3744.30    9.2630    0.0000   11.0551  57822.00      0.00
404   3744.63    9.2634    0.0000   11.0555  57822.00      0.00
405   3754.63    9.2747    0.0000   11.0662  57822.00      0.00
406   3764.63    9.2861    0.0000   11.0770  57822.00      0.00
407   3774.63    9.2974    0.0000   11.0877  57822.00      0.00
408   3784.63    9.3088    0.0000   11.0984  57822.00      0.00
409   3794.63    9.3201    0.0000   11.1091  57822.00      0.00
410   3794.96    9.3205    0.0000   11.1095  57822.00      0.00
411   3804.96    9.3315    0.0000   11.1200  57822.00      0.00
412   3814.96    9.3426    0.0000   11.1305  57822.00      0.00
413   3824.96    9.3536    0.0000   11.1410  57822.00      0.00
414   3834.96    9.3646    0.0000   11.1515  57822.00      0.00
415   3844.96    9.3756    0.0000   11.1620  57822.00      0.00
416   3845.29    9.3760    0.0000   11.1623  57822.00      0.00
417   3855.29    9.3867    0.0000   11.1725  57822.00      0.00
418   3865.29    9.3973    0.0000   11.1827  57822.00      0.00
419   3875.29    9.4080    0.0000   11.1929  57822.00      0.00
420   3885.29    9.4187    0.0000   11.2032  57822.00      0.00
421   3895.29    9.4293    0.0000   11.2134  57822.00      0.00
422   3895.62    9.4297    0.0000   11.2137  57822.00      0.00
423   3905.62    9.4400    0.0000   11.2237  57822.00      0.00
424   3915.62    9.4502    0.0000   11.2336  57822.00      0.00
425   3925.62    9.4605    0.0000   11.2436  57822.00      0.00
426   3935.62    9.4708    0.0000   11.2536  57822.00      0.00
427   3945.62    9.4811    0.0000   11.2636  57822.00      0.00
428   3945.95    9.4814    0.0000   11.2639  57822.00      0.00
429   3955.95    9.4912    0.0000   11.2736  57822.00      0.00
430   3965.95    9.5010    0.0000   11.2833  57822.00      0.00
431   3975.95    9.5107    0.0000   11.2930  57822.00      0.00
432   3985.95    9.5205    0.0000   11.3027  57822.00      0.00
433   3995.95    9.5303    0.0000   11.3124  57822.00      0.00
434   3996.28    9.5306    0.0000   11.3127  57822.00      0.00
435   4006.28    9.5400    0.0000   11.3222  57822.00      0.00
436   4016.28    9.5493    0.0000   11.3317  57822.00      0.00
437   4026.28    9.5587    0.0000   11.3411  57822.00      0.00
438   4036.28    9.5680    0.0000   11.3506  57822.00      0.00
439   4046.28    9.5774    0.0000   11.3601  57822.00      0.00
440   4046.62    9.5777    0.0000   11.3604  57822.00      0.00
441   4056.62    9.5867    0.0000   11.3696  57822.00      0.00
442   4066.62    9.5958    0.0000   11.3789  57822.00      0.00
443   4076.62    9.6048    0.0000   11.3881  57822.00      0.00
444   4086.62    9.6139    0.0000   11.3974  57822.00      0.00
445   4096.62    9.6229    0.0000   11.4066  57822.00      0.00
446   4096.95    9.6232    0.0000   11.4069  57822.00      0.00
447   4106.95    9.6320    0.0000   11.4159  57822.00      0.00
448   4116.95    9.6407    0.0000   11.4249  57822.00      0.00
449   4126.95    9.6495    0.0000   11.4338  57822.00      0.00
450   4136.95    9.6582    0.0000   11.4428  57822.00      0.00
451   4146.95    9.6670    0.0000   11.4518  57822.00      0.00
452   4147.28    9.6673    0.0000   11.4521  57822.00      0.00
