no   depth[km]   vp[km/s]   vs[km/s]   ro[g/cm^3]   qp   qs   
225   4600.26   10.0103   0.0   11.8092   57822.0   0.0   
226   4650.59   10.0439   0.0   11.8437   57822.0   0.0   
227   4700.92   10.0768   0.0   11.8772   57822.0   0.0   
228   4801.58   10.1415   0.0   11.9414   57822.0   0.0   
229   4851.91   10.1739   0.0   11.9722   57822.0   0.0   
230   4902.24   10.2049   0.0   12.0001   57822.0   0.0   
231   4952.58   10.2329   0.0   12.0311   57822.0   0.0   
232   5002.91   10.2565   0.0   12.0593   57822.0   0.0   
233   5053.24   10.2745   0.0   12.0867   57822.0   0.0   
234   5103.57   10.2854   0.0   12.1133   57822.0   0.0   
235   5153.5   10.289   0.0   12.1391   57822.0   0.0   
236   5153.5   11.0427   3.5043   12.7037   633.26   85.03   
237   5204.61   11.0585   3.5187   12.7289   629.89   85.03   
238   5255.32   11.0718   3.5314   12.753   626.87   85.03   
239   5306.04   11.085   3.5435   12.776   624.08   85.03   
240   5356.75   11.0983   3.5551   12.798   621.5   85.03   
241   5407.46   11.1166   3.5661   12.8188   619.71   85.03   
242   5458.17   11.1316   3.5765   12.8387   617.78   85.03   
243   5508.89   11.1457   3.5864   12.8574   615.93   85.03   
244   5559.6   11.159   3.5957   12.8751   614.21   85.03   
245   5610.31   11.1715   3.6044   12.8917   612.62   85.03   
246   5661.0   11.183   3.613   12.907   611.18   85.03   
247   5711.74   11.1941   3.6202   12.9217   609.74   85.03   
248   5813.16   11.2134   3.6337   12.9474   607.31   85.03   
249   5863.87   11.2219   3.6396   12.9586   606.26   85.03   
250   5914.59   11.2295   3.645   12.9688   605.28   85.03   
251   5965.3   11.2364   3.6498   12.9779   604.44   85.03   
252   6016.01   11.2424   3.654   12.9859   603.69   85.03   
253   6066.72   11.2477   3.6577   12.9929   603.04   85.03   
254   6117.44   11.2521   3.6608   12.9988   602.49   85.03   
255   6168.15   11.2557   3.6633   13.0036   602.05   85.03   
256   6218.86   11.2586   3.6653   13.0074   601.7   85.03   
257   6269.57   11.2606   3.6667   13.01   601.46   85.03   
258   6320.29   11.2618   3.6675   13.0117   601.32   85.03   
259   6371.0   11.2622   3.6678   13.0122   601.27   85.03   
